contamination,query_genus,target_genus,,I# query,I# target,query_seq,target_seq,,%similar,length of match (bp),tlength,qlength,mismatch,gapopen, qstart ,qend ,,tstart ,tend ,,evalue,note 
,Euryischia,Pseudidarnes,,I23222,I29052,L359_MERG00092_0101_SUPERCONTIG,L362_MERG00010_0101_SUPERCONTIG,.,97.09,103,1188,1073,3,0,361,463,,1,103,,7.00E-42,betweenloci
,Euryischia,Zeala,,I23222,I27457,L1009_MERG00092_0101_SUPERCONTIG,L1009_MERG00269_0101_SUPERCONTIG,.,96.32,136,691,1100,5,0,423,558,,268,403,,6.00E-60,withinloci
,Euryischia,Zeala,,I23222,I27457,L502_MERG00092_0101_SUPERCONTIG,L502_MERG00269_0101_SUPERCONTIG,.,96.31,271,922,1513,10,0,648,918,,308,578,,2.00E-126,withinloci
,Euryischomyia,Coruna,,I21638,I21952,L503_MERG00093_0101_SUPERCONTIG,L503_MERG00345_0101_SUPERCONTIG,.,95.04,141,1328,1344,7,0,1025,1165,,926,1066,,3.00E-59,withinloci
,Euryischomyia,Dirhinus,,I21638,I23253,L2_MERG00093_0101_SUPERCONTIG,L3_MERG00065_0101_SUPERCONTIG,.,95.15,165,1305,738,8,0,115,279,,1,165,,4.00E-68,betweenloci
,Euryischomyia,Dirhinus,,I21638,I23253,L2_MERG00093_0101_SUPERCONTIG,L3_MERG00065_0101_SUPERCONTIG,.,97.20,107,1305,738,3,0,277,383,,86,192,,3.00E-44,betweenloci
,Euryischomyia,Enoggera,,I21638,I23211,L2_MERG00093_0101_SUPERCONTIG,L3_MERG00228_0101_SUPERCONTIG,.,96.19,105,1087,738,4,0,279,383,,149,253,,2.00E-41,betweenloci
,Euryischomyia,Eretmocerus,,I21638,I8131,L951_MERG00093_0101_SUPERCONTIG,L951_MERG00051_0101_SUPERCONTIG,.,95.95,173,817,1407,7,0,716,888,,339,511,,4.00E-77,withinloci
,Euryischomyia,Euryischia,,I21638,I23222,L504_MERG00093_0101_SUPERCONTIG,L503_MERG00092_0101_SUPERCONTIG,.,96.43,196,1243,1158,6,1,186,381,,518,712,,3.00E-86,betweenloci
,Euryischomyia,Euryischia,,I21638,I23222,L112_MERG00093_0101_SUPERCONTIG,L112_MERG00092_0101_SUPERCONTIG,.,95.88,291,1302,1752,12,0,881,1171,,576,866,,4.00E-134,withinloci
,Euryischomyia,Euryischia,,I21638,I23222,L304_MERG00093_0101_SUPERCONTIG,L304_MERG00092_0101_SUPERCONTIG,.,95.14,247,1170,897,10,2,357,603,,468,712,,2.00E-109,withinloci
,Euryischomyia,Euryischia,,I21638,I23222,L362_MERG00093_0101_SUPERCONTIG,L362_MERG00092_0101_SUPERCONTIG,.,96.15,78,1230,2289,3,0,801,878,,1123,1046,,1.00E-30,withinloci
,Euryischomyia,Euryischia,,I21638,I23222,L362_MERG00093_0101_SUPERCONTIG,L362_MERG00092_0101_SUPERCONTIG,.,96.15,78,1230,2289,3,0,877,954,,1046,1123,,1.00E-30,withinloci
,Euryischomyia,Euryischia,,I21638,I23222,L362_MERG00093_0101_SUPERCONTIG,L362_MERG00092_0101_SUPERCONTIG,.,97.42,194,1230,2289,2,3,627,819,,484,675,,1.00E-90,withinloci
,Euryischomyia,Euryischia,,I21638,I23222,L362_MERG00093_0101_SUPERCONTIG,L362_MERG00092_0101_SUPERCONTIG,.,97.42,194,1230,2289,2,3,936,1128,,675,484,,1.00E-90,withinloci
,Euryischomyia,Euryischia,,I21638,I23222,L362_MERG00093_0101_SUPERCONTIG,L362_MERG00092_0101_SUPERCONTIG,.,98.65,74,1230,2289,1,0,1681,1754,,592,665,,9.00E-32,withinloci
,Euryischomyia,Euryischia,,I21638,I23222,L362_MERG00093_0101_SUPERCONTIG,L362_MERG00092_0101_SUPERCONTIG,.,98.65,74,1230,2289,1,0,1,74,,665,592,,9.00E-32,withinloci
,Euryischomyia,Euryischia,,I21638,I23222,L363_MERG00093_0101_SUPERCONTIG,L363_MERG00092_0101_SUPERCONTIG,.,95.92,98,2137,2385,4,0,449,546,,349,446,,1.00E-39,withinloci
,Euryischomyia,Euryischia,,I21638,I23222,L451_MERG00093_0101_SUPERCONTIG,L451_MERG00092_0101_SUPERCONTIG,.,96.38,221,1401,233,7,1,1,221,,579,798,,3.00E-102,withinloci
,Euryischomyia,Euryischia,,I21638,I23222,L47_MERG00093_0101_SUPERCONTIG,L47_MERG00092_0101_SUPERCONTIG,.,96.77,186,1280,418,6,0,201,386,,589,774,,2.00E-86,withinloci
,Euryischomyia,Euryischia,,I21638,I23222,L500_MERG00093_0101_SUPERCONTIG,L500_MERG00092_0101_SUPERCONTIG,.,98.09,157,1186,239,3,0,81,237,,502,658,,1.00E-75,withinloci
,Euryischomyia,Euryischia,,I21638,I23222,L504_MERG00093_0101_SUPERCONTIG,L504_MERG00092_0101_SUPERCONTIG,.,96.43,196,1221,1158,6,1,186,381,,231,425,,2.00E-89,withinloci
,Euryischomyia,Euryischia,,I21638,I23222,L504_MERG00093_0101_SUPERCONTIG,L504_MERG00092_0101_SUPERCONTIG,.,97.17,106,1221,1158,3,0,992,1097,,1116,1221,,2.00E-46,withinloci
,Euryischomyia,Euryischia,,I21638,I23222,L627_MERG00093_0101_SUPERCONTIG,L627_MERG00092_0101_SUPERCONTIG,.,96.80,219,1289,262,7,0,11,229,,435,653,,3.00E-103,withinloci
,Euryischomyia,Euryischia,,I21638,I23222,L753_MERG00093_0101_SUPERCONTIG,L753_MERG00092_0101_SUPERCONTIG,.,95.40,87,1219,597,2,2,1,86,,68,153,,5.00E-34,withinloci
,Euryischomyia,Euryischia,,I21638,I23222,L924_MERG00093_0101_SUPERCONTIG,L924_MERG00092_0101_SUPERCONTIG,.,95.03,181,1169,858,9,0,664,844,,481,661,,2.00E-78,withinloci
,Euryischomyia,Euryischia,,I21638,I23222,L995_MERG00093_0101_SUPERCONTIG,L995_MERG00092_0101_SUPERCONTIG,.,98.70,77,1048,1522,1,0,1446,1522,,791,715,,1.00E-33,withinloci
,Euryischomyia,Lanthanomyia,,I21638,I24040,L3_MERG00093_0101_SUPERCONTIG,L2_MERG00259_0101_SUPERCONTIG,.,97.05,237,1093,1260,7,0,492,728,,838,1074,,1.00E-109,betweenloci
,Euryischomyia,Myiocnema,,I21638,I29029,L244_MERG00093_0101_SUPERCONTIG,L243_MERG00094_0101_SUPERCONTIG,.,95.77,142,1331,291,6,0,1,142,,790,931,,4.00E-59,betweenloci
,Euryischomyia,Myiocnema,,I21638,I29029,L506_MERG00093_0101_SUPERCONTIG,L505_MERG00094_0101_SUPERCONTIG,.,96.97,330,660,1604,10,0,1,330,,69,398,,3.00E-156,betweenloci
,Euryischomyia,Myiocnema,,I21638,I29029,L510_MERG00093_0101_SUPERCONTIG,L511_MERG00094_0101_SUPERCONTIG,.,95.37,324,1486,1139,14,1,411,734,,1,323,,4.00E-144,betweenloci
,Euryischomyia,Myiocnema,,I21638,I29029,L576_MERG00093_0101_SUPERCONTIG,L577_MERG00094_0101_SUPERCONTIG,.,95.94,320,1373,364,13,0,45,364,,1,320,,3.00E-146,betweenloci
,Euryischomyia,Myiocnema,,I21638,I29029,L742_MERG00093_0101_SUPERCONTIG,L741_MERG00094_0101_SUPERCONTIG,.,95.28,212,1340,232,10,0,1,212,,808,1019,,2.00E-91,betweenloci
,Euryischomyia,Myiocnema,,I21638,I29029,L244_MERG00093_0101_SUPERCONTIG,L244_MERG00094_0101_SUPERCONTIG,.,95.77,142,1414,291,6,0,1,142,,576,717,,4.00E-62,withinloci
,Euryischomyia,Myiocnema,,I21638,I29029,L368_MERG00093_0101_SUPERCONTIG,L368_MERG00094_0101_SUPERCONTIG,.,97.65,298,1563,1560,7,0,1156,1453,,1266,1563,,2.00E-146,withinloci
,Euryischomyia,Myiocnema,,I21638,I29029,L369_MERG00093_0101_SUPERCONTIG,L369_MERG00094_0101_SUPERCONTIG,.,97.54,406,1414,1533,9,1,978,1383,,1010,1414,,0.0,withinloci
,Euryischomyia,Myiocnema,,I21638,I29029,L394_MERG00093_0101_SUPERCONTIG,L394_MERG00094_0101_SUPERCONTIG,.,95.71,396,999,427,17,0,7,402,,161,556,,0.0,withinloci
,Euryischomyia,Myiocnema,,I21638,I29029,L3_MERG00093_0101_SUPERCONTIG,L3_MERG00094_0101_SUPERCONTIG,.,95.69,255,370,1260,9,1,489,741,,4,258,,2.00E-115,withinloci
,Euryischomyia,Myiocnema,,I21638,I29029,L502_MERG00093_0101_SUPERCONTIG,L502_MERG00094_0101_SUPERCONTIG,.,97.08,274,566,305,8,0,21,294,,124,397,,4.00E-132,withinloci
,Euryischomyia,Myiocnema,,I21638,I29029,L511_MERG00093_0101_SUPERCONTIG,L511_MERG00094_0101_SUPERCONTIG,.,95.97,149,1486,1321,6,0,1,149,,175,323,,2.00E-65,withinloci
,Euryischomyia,Myiocnema,,I21638,I29029,L576_MERG00093_0101_SUPERCONTIG,L576_MERG00094_0101_SUPERCONTIG,.,95.88,364,1094,364,15,0,1,364,,86,449,,2.00E-170,withinloci
,Euryischomyia,Myiocnema,,I21638,I29029,L739_MERG00093_0101_SUPERCONTIG,L739_MERG00094_0101_SUPERCONTIG,.,96.00,250,1366,253,10,0,2,251,,583,832,,2.00E-115,withinloci
,Euryischomyia,Myiocnema,,I21638,I29029,L742_MERG00093_0101_SUPERCONTIG,L742_MERG00094_0101_SUPERCONTIG,.,95.28,212,288,232,10,0,1,212,,71,282,,2.00E-94,withinloci
,Euryischomyia,Myiocnema,,I21638,I29029,L768_MERG00093_0101_SUPERCONTIG,L768_MERG00094_0101_SUPERCONTIG,.,97.90,808,1333,1224,11,5,421,1224,,482,1287,,0.0,withinloci
,Euryischomyia,Ormyrus,,I21638,I21664,L1_MERG00093_0101_SUPERCONTIG,L1_MERG00210_0101_SUPERCONTIG,.,97.22,72,1119,1294,2,0,420,491,,334,405,,4.00E-29,withinloci
,Euryischomyia,Platykula,,I21638,I26397,L239_MERG00093_0101_SUPERCONTIG,L239_MERG00390_0101_SUPERCONTIG,.,98.63,146,1037,150,2,0,5,150,,523,668,,2.00E-71,withinloci
,Eurytoma,Aiolomorphus,,I8160,I21923,L5_MERG00165_0101_SUPERCONTIG,L5_MERG00161_0101_SUPERCONTIG,.,95.19,935,932,956,38,5,19,949,,1,932,,0.0,withinloci
,Eurytoma,Bruchodape,,I8160,I21915,L338_MERG00165_0101_SUPERCONTIG,L339_MERG00163_0101_SUPERCONTIG,.,95.43,219,681,756,10,0,248,466,,1,219,,8.00E-95,betweenloci
,Eurytoma,Euryischomyia,,I8160,I21638,L388_MERG00165_0101_SUPERCONTIG,L389_MERG00093_0101_SUPERCONTIG,.,95.71,280,1388,780,9,3,319,598,,257,533,,3.00E-124,betweenloci
,Eurytoma,Grooca,,I8160,I29053,L501_MERG00165_0101_SUPERCONTIG,L500_MERG00248_0101_SUPERCONTIG,.,96.28,215,1256,816,7,1,189,403,,889,1102,,2.00E-95,betweenloci
,Eurytoma,Megastigmus,,I8160,I24050,L289_MERG00165_0101_SUPERCONTIG,L647_MERG00184_0101_SUPERCONTIG,.,100.00,57,659,1137,0,0,568,624,,655,599,,3.00E-21,betweenloci
,Eurytoma,Melanosmicra,,I8160,I21662,L289_MERG00165_0101_SUPERCONTIG,L693_MERG00062_0101_SUPERCONTIG,.,100.00,57,720,1137,0,0,568,624,,18,74,,3.00E-21,betweenloci
,Eurytoma,Plutothrix,,I8160,I21925,L501_MERG00165_0101_SUPERCONTIG,L500_MERG00341_0101_SUPERCONTIG,.,96.63,208,1155,816,7,0,188,395,,831,1038,,1.00E-93,betweenloci
,Eurytoma,Scutellista,,I8160,I8169,L1013_MERG00165_0101_SUPERCONTIG,L1013_MERG00289_0101_SUPERCONTIG,.,100.00,318,843,318,0,0,1,318,,230,547,,7.00E-170,withinloci
,Eurytoma,Systole,,I8160,I21924,L1014_MERG00165_0101_SUPERCONTIG,L1015_MERG00168_0101_SUPERCONTIG,.,96.22,291,992,955,10,1,661,950,,25,315,,2.00E-132,betweenloci
,Eurytoma,Systole,,I8160,I21924,L1023_MERG00165_0101_SUPERCONTIG,L1024_MERG00168_0101_SUPERCONTIG,.,96.49,114,871,546,4,0,433,546,,482,595,,1.00E-46,betweenloci
,Eurytoma,Systole,,I8160,I21924,L344_MERG00165_0101_SUPERCONTIG,L345_MERG00168_0101_SUPERCONTIG,.,95.16,351,1160,896,17,0,546,896,,407,757,,2.00E-156,betweenloci
,Eurytoma,Tetramesa,,I8160,I21916,L237_MERG00165_0101_SUPERCONTIG,L238_MERG00169_0101_SUPERCONTIG,.,95.56,540,669,930,21,1,393,929,,1,540,,0.0,betweenloci
,Eurytoma,Tetramesa,,I8160,I21916,L443_MERG00165_0101_SUPERCONTIG,L443_MERG00169_0101_SUPERCONTIG,.,95.90,610,1036,608,23,1,1,608,,389,998,,0.0,withinloci
,Eusandalum,Adontomerus,,I27456,I29034,L24_MERG00142_0101_SUPERCONTIG,L24_MERG00375_0101_SUPERCONTIG,.,95.82,263,1130,843,10,1,291,553,,420,681,,6.00E-120,withinloci
,Eusandalum,Boucekius,,I27456,I27439,L629_MERG00142_0101_SUPERCONTIG,L629_MERG00241_0101_SUPERCONTIG,.,95.31,64,869,844,3,0,738,801,,806,869,,3.00E-23,withinloci
,Eusandalum,Neanastatus,,I27456,I24009,L1028_MERG00142_0101_SUPERCONTIG,L1027_MERG00158_0101_SUPERCONTIG,.,95.41,218,996,1019,10,0,1,218,,480,697,,4.00E-94,betweenloci
,Eusandalum,Neodipara,,I27456,I26427,L433_MERG00142_0101_SUPERCONTIG,L434_MERG00308_0101_SUPERCONTIG,.,97.01,67,965,749,2,0,595,661,,15,81,,1.00E-23,betweenloci
,Eusandalum,Nepistenia,,I27456,I27452,L459_MERG00142_0101_SUPERCONTIG,L459_MERG00250_0101_SUPERCONTIG,.,100.00,331,887,331,0,0,1,331,,125,455,,5.00E-177,withinloci
,Eusandalum,Ormyromorpha,,I8158,I21946,L501_MERG00141_0101_SUPERCONTIG,L500_MERG00261_0101_SUPERCONTIG,.,96.08,204,1139,802,8,0,258,461,,845,1048,,9.00E-90,betweenloci
,Eusandalum,Paraeusandalum,,I27456,I24007,L419_MERG00142_0101_SUPERCONTIG,L419_MERG00143_0101_SUPERCONTIG,.,95.83,192,583,687,8,0,245,436,,155,346,,3.00E-86,withinloci
,Eusandalum,Parepistenia,,I27456,I27418,L253_MERG00142_0101_SUPERCONTIG,L253_MERG00253_0101_SUPERCONTIG,.,95.37,108,946,885,5,0,767,874,,829,936,,2.00E-44,withinloci
,Eusandalum,Plutothrix,,I8158,I21925,L501_MERG00141_0101_SUPERCONTIG,L500_MERG00341_0101_SUPERCONTIG,.,96.57,204,1155,802,7,0,258,461,,834,1037,,2.00E-91,betweenloci
,Eusandalum,Proshizonotus,,I27456,I23215,L362_MERG00142_0101_SUPERCONTIG,L362_MERG00254_0101_SUPERCONTIG,.,95.40,239,1254,815,11,0,296,534,,460,698,,3.00E-107,withinloci
,Eusandalum,Rileya,,I27456,I26416,L46_MERG00142_0101_SUPERCONTIG,L47_MERG00173_0101_SUPERCONTIG,.,95.12,205,1285,797,10,0,318,522,,1,205,,5.00E-87,betweenloci
,Eusandalum,Rileya,,I27456,I26424,L46_MERG00142_0101_SUPERCONTIG,L47_MERG00175_0101_SUPERCONTIG,.,95.12,205,1346,797,10,0,318,522,,281,485,,5.00E-87,betweenloci
,Eusemion,Cheiloneurus,,I23983,I23986,L500_MERG00079_0101_SUPERCONTIG,L500_MERG00077_0101_SUPERCONTIG,.,96.48,142,681,650,5,0,252,393,,275,416,,2.00E-63,withinloci
,Eusemion,Epitranus,,I23983,I23979,L306_MERG00079_0101_SUPERCONTIG,L305_MERG00066_0101_SUPERCONTIG,.,100.00,254,835,324,0,0,1,254,,582,835,,2.00E-131,betweenloci
,Eusemion,Epitranus,,I23983,I23979,L590_MERG00079_0101_SUPERCONTIG,L589_MERG00066_0101_SUPERCONTIG,.,100.00,370,760,419,0,0,1,370,,391,760,,0.0,betweenloci
,Eusemion,Epitranus,,I23983,I23979,L656_MERG00079_0101_SUPERCONTIG,L655_MERG00066_0101_SUPERCONTIG,.,100.00,361,769,431,0,0,1,361,,409,769,,0.0,betweenloci
,Eusemion,Epitranus,,I23983,I23979,L306_MERG00079_0101_SUPERCONTIG,L306_MERG00066_0101_SUPERCONTIG,.,100.00,324,631,324,0,0,1,324,,226,549,,2.00E-173,withinloci
,Eusemion,Epitranus,,I23983,I23979,L380_MERG00079_0101_SUPERCONTIG,L380_MERG00066_0101_SUPERCONTIG,.,100.00,340,782,340,0,0,1,340,,214,553,,0.0,withinloci
,Eusemion,Epitranus,,I23983,I23979,L404_MERG00079_0101_SUPERCONTIG,L404_MERG00066_0101_SUPERCONTIG,.,99.65,285,677,285,1,0,1,285,,228,512,,5.00E-150,withinloci
,Eusemion,Epitranus,,I23983,I23979,L437_MERG00079_0101_SUPERCONTIG,L437_MERG00066_0101_SUPERCONTIG,.,100.00,585,852,585,0,0,1,585,,173,757,,0.0,withinloci
,Eusemion,Epitranus,,I23983,I23979,L438_MERG00079_0101_SUPERCONTIG,L438_MERG00066_0101_SUPERCONTIG,.,99.84,620,864,620,1,0,1,620,,186,805,,0.0,withinloci
,Eusemion,Epitranus,,I23983,I23979,L590_MERG00079_0101_SUPERCONTIG,L590_MERG00066_0101_SUPERCONTIG,.,100.00,419,750,419,0,0,1,419,,161,579,,0.0,withinloci
,Eusemion,Epitranus,,I23983,I23979,L656_MERG00079_0101_SUPERCONTIG,L656_MERG00066_0101_SUPERCONTIG,.,100.00,431,704,431,0,0,1,431,,140,570,,0.0,withinloci
,Eusemion,Epitranus,,I23983,I23979,L993_MERG00079_0101_SUPERCONTIG,L993_MERG00066_0101_SUPERCONTIG,.,99.79,481,776,481,1,0,1,481,,234,714,,0.0,withinloci
,Eusemion,Lasiochalcidia,,I23983,I23980,L272_MERG00079_0101_SUPERCONTIG,L271_MERG00071_0101_SUPERCONTIG,.,100.00,484,778,592,0,0,1,484,,295,778,,0.0,betweenloci
,Eusemion,Lasiochalcidia,,I23983,I23980,L227_MERG00079_0101_SUPERCONTIG,L227_MERG00071_0101_SUPERCONTIG,.,100.00,304,648,304,0,0,1,304,,99,402,,3.00E-162,withinloci
,Eusemion,Lasiochalcidia,,I23983,I23980,L254_MERG00079_0101_SUPERCONTIG,L254_MERG00071_0101_SUPERCONTIG,.,100.00,78,1216,2733,0,0,1277,1354,,330,407,,4.00E-35,withinloci
,Eusemion,Lasiochalcidia,,I23983,I23980,L272_MERG00079_0101_SUPERCONTIG,L272_MERG00071_0101_SUPERCONTIG,.,100.00,592,758,592,0,0,1,592,,23,614,,0.0,withinloci
,Eusemion,Lasiochalcidia,,I23983,I23980,L289_MERG00079_0101_SUPERCONTIG,L289_MERG00071_0101_SUPERCONTIG,.,100.00,641,1136,641,0,0,1,641,,160,800,,0.0,withinloci
,Eusemion,Lasiochalcidia,,I23983,I23980,L798_MERG00079_0101_SUPERCONTIG,L798_MERG00071_0101_SUPERCONTIG,.,100.00,417,968,417,0,0,1,417,,231,647,,0.0,withinloci
,Eusemion,Lasiochalcidia,,I23983,I23980,L853_MERG00079_0101_SUPERCONTIG,L853_MERG00071_0101_SUPERCONTIG,.,100.00,429,957,429,0,0,1,429,,285,713,,0.0,withinloci
,Eusemion,Lasiochalcidia,,I23983,I23980,L254_MERG00079_0101_SUPERCONTIG,L255_MERG00071_0101_SUPERCONTIG,.,97.24,471,1032,2733,11,2,1688,2157,,182,651,,0.0,betweenloci
,Eusemion,Lasiochalcidia,,I23983,I23980,L254_MERG00079_0101_SUPERCONTIG,L255_MERG00071_0101_SUPERCONTIG,.,97.39,652,1032,2733,16,1,1953,2604,,1,651,,0.0,betweenloci
,Eusemion,Lasiochalcidia,,I23983,I23980,L254_MERG00079_0101_SUPERCONTIG,L255_MERG00071_0101_SUPERCONTIG,.,98.50,334,1032,2733,5,0,2400,2733,,1,334,,2.00E-166,betweenloci
,Eusemion,Lasiochalcidia,,I23983,I23980,L422_MERG00079_0101_SUPERCONTIG,L421_MERG00071_0101_SUPERCONTIG,.,98.12,478,753,551,9,0,1,478,,276,753,,0.0,betweenloci
,Eusemion,Lasiochalcidia,,I23983,I23980,L666_MERG00079_0101_SUPERCONTIG,L667_MERG00071_0101_SUPERCONTIG,.,95.19,208,745,384,10,0,175,382,,1,208,,5.00E-89,betweenloci
,Eusemion,Lasiochalcidia,,I23983,I23980,L745_MERG00079_0101_SUPERCONTIG,L744_MERG00071_0101_SUPERCONTIG,.,98.45,517,707,651,8,0,1,517,,191,707,,0.0,betweenloci
,Eusemion,Lasiochalcidia,,I23983,I23980,L80_MERG00079_0101_SUPERCONTIG,L81_MERG00071_0101_SUPERCONTIG,.,96.15,416,958,558,16,0,143,558,,1,416,,0.0,betweenloci
,Eusemion,Lasiochalcidia,,I23983,I23980,L226_MERG00079_0101_SUPERCONTIG,L226_MERG00071_0101_SUPERCONTIG,.,95.74,493,622,495,18,2,1,493,,69,558,,0.0,withinloci
,Eusemion,Lasiochalcidia,,I23983,I23980,L254_MERG00079_0101_SUPERCONTIG,L254_MERG00071_0101_SUPERCONTIG,.,96.60,206,1216,2733,6,1,1688,1892,,1011,1216,,4.00E-94,withinloci
,Eusemion,Lasiochalcidia,,I23983,I23980,L254_MERG00079_0101_SUPERCONTIG,L254_MERG00071_0101_SUPERCONTIG,.,97.12,590,1216,2733,17,0,2144,2733,,574,1163,,0.0,withinloci
,Eusemion,Lasiochalcidia,,I23983,I23980,L254_MERG00079_0101_SUPERCONTIG,L254_MERG00071_0101_SUPERCONTIG,.,98.07,983,1216,2733,19,0,1357,2339,,234,1216,,0.0,withinloci
,Eusemion,Lasiochalcidia,,I23983,I23980,L422_MERG00079_0101_SUPERCONTIG,L422_MERG00071_0101_SUPERCONTIG,.,98.19,551,758,551,10,0,1,551,,68,618,,0.0,withinloci
,Eusemion,Lasiochalcidia,,I23983,I23980,L745_MERG00079_0101_SUPERCONTIG,L745_MERG00071_0101_SUPERCONTIG,.,95.52,648,845,651,26,2,1,648,,28,672,,0.0,withinloci
,Eusemion,Psilochalcis,,I23983,I23982,L1022_MERG00079_0101_SUPERCONTIG,L1021_MERG00070_0101_SUPERCONTIG,.,100.00,414,676,690,0,0,1,414,,263,676,,0.0,betweenloci
,Eusemion,Psilochalcis,,I23983,I23982,L226_MERG00079_0101_SUPERCONTIG,L227_MERG00070_0101_SUPERCONTIG,.,100.00,101,625,495,0,0,395,495,,1,101,,4.00E-46,betweenloci
,Eusemion,Psilochalcis,,I23983,I23982,L285_MERG00079_0101_SUPERCONTIG,L284_MERG00070_0101_SUPERCONTIG,.,100.00,311,1513,458,0,0,1,311,,1203,1513,,7.00E-163,betweenloci
,Eusemion,Psilochalcis,,I23983,I23982,L3_MERG00079_0101_SUPERCONTIG,L2_MERG00070_0101_SUPERCONTIG,.,99.74,390,994,471,0,1,1,389,,605,994,,0.0,betweenloci
,Eusemion,Psilochalcis,,I23983,I23982,L414_MERG00079_0101_SUPERCONTIG,L415_MERG00070_0101_SUPERCONTIG,.,100.00,397,928,573,0,0,177,573,,1,397,,0.0,betweenloci
,Eusemion,Psilochalcis,,I23983,I23982,L441_MERG00079_0101_SUPERCONTIG,L442_MERG00070_0101_SUPERCONTIG,.,100.00,357,769,500,0,0,144,500,,1,357,,0.0,betweenloci
,Eusemion,Psilochalcis,,I23983,I23982,L548_MERG00079_0101_SUPERCONTIG,L547_MERG00070_0101_SUPERCONTIG,.,99.68,312,846,546,1,0,1,312,,535,846,,1.00E-161,betweenloci
,Eusemion,Psilochalcis,,I23983,I23982,L80_MERG00079_0101_SUPERCONTIG,L81_MERG00070_0101_SUPERCONTIG,.,99.51,412,962,558,2,0,147,558,,1,412,,0.0,betweenloci
,Eusemion,Psilochalcis,,I23983,I23982,L858_MERG00079_0101_SUPERCONTIG,L857_MERG00070_0101_SUPERCONTIG,.,99.41,507,813,602,3,0,1,507,,307,813,,0.0,betweenloci
,Eusemion,Psilochalcis,,I23983,I23982,L90_MERG00079_0101_SUPERCONTIG,L91_MERG00070_0101_SUPERCONTIG,.,100.00,313,1116,637,0,0,325,637,,1,313,,8.00E-164,betweenloci
,Eusemion,Psilochalcis,,I23983,I23982,L961_MERG00079_0101_SUPERCONTIG,L962_MERG00070_0101_SUPERCONTIG,.,100.00,520,888,745,0,0,226,745,,1,520,,0.0,betweenloci
,Eusemion,Psilochalcis,,I23983,I23982,L961_MERG00079_0101_SUPERCONTIG,L960_MERG00070_0101_SUPERCONTIG,.,99.78,462,823,745,1,0,1,462,,362,823,,0.0,betweenloci
,Eusemion,Psilochalcis,,I23983,I23982,L970_MERG00079_0101_SUPERCONTIG,L969_MERG00070_0101_SUPERCONTIG,.,99.73,366,849,645,1,0,1,366,,484,849,,0.0,betweenloci
,Eusemion,Psilochalcis,,I23983,I23982,L1003_MERG00079_0101_SUPERCONTIG,L1003_MERG00070_0101_SUPERCONTIG,.,99.33,746,932,746,5,0,1,746,,91,836,,0.0,withinloci
,Eusemion,Psilochalcis,,I23983,I23982,L1022_MERG00079_0101_SUPERCONTIG,L1022_MERG00070_0101_SUPERCONTIG,.,100.00,690,808,690,0,0,1,690,,57,746,,0.0,withinloci
,Eusemion,Psilochalcis,,I23983,I23982,L149_MERG00079_0101_SUPERCONTIG,L149_MERG00070_0101_SUPERCONTIG,.,99.13,461,603,461,4,0,1,461,,131,591,,0.0,withinloci
,Eusemion,Psilochalcis,,I23983,I23982,L285_MERG00079_0101_SUPERCONTIG,L285_MERG00070_0101_SUPERCONTIG,.,100.00,458,660,458,0,0,1,458,,160,617,,0.0,withinloci
,Eusemion,Psilochalcis,,I23983,I23982,L339_MERG00079_0101_SUPERCONTIG,L339_MERG00070_0101_SUPERCONTIG,.,100.00,709,756,709,0,0,1,709,,30,738,,0.0,withinloci
,Eusemion,Psilochalcis,,I23983,I23982,L414_MERG00079_0101_SUPERCONTIG,L414_MERG00070_0101_SUPERCONTIG,.,100.00,573,690,573,0,0,1,573,,64,636,,0.0,withinloci
,Eusemion,Psilochalcis,,I23983,I23982,L43_MERG00079_0101_SUPERCONTIG,L43_MERG00070_0101_SUPERCONTIG,.,100.00,920,1133,920,0,0,1,920,,138,1057,,0.0,withinloci
,Eusemion,Psilochalcis,,I23983,I23982,L441_MERG00079_0101_SUPERCONTIG,L441_MERG00070_0101_SUPERCONTIG,.,100.00,500,728,500,0,0,1,500,,116,615,,0.0,withinloci
,Eusemion,Psilochalcis,,I23983,I23982,L548_MERG00079_0101_SUPERCONTIG,L548_MERG00070_0101_SUPERCONTIG,.,100.00,546,664,546,0,0,1,546,,42,587,,0.0,withinloci
,Eusemion,Psilochalcis,,I23983,I23982,L666_MERG00079_0101_SUPERCONTIG,L666_MERG00070_0101_SUPERCONTIG,.,100.00,384,471,384,0,0,1,384,,74,457,,0.0,withinloci
,Eusemion,Psilochalcis,,I23983,I23982,L847_MERG00079_0101_SUPERCONTIG,L847_MERG00070_0101_SUPERCONTIG,.,100.00,535,785,535,0,0,1,535,,150,684,,0.0,withinloci
,Eusemion,Psilochalcis,,I23983,I23982,L858_MERG00079_0101_SUPERCONTIG,L858_MERG00070_0101_SUPERCONTIG,.,99.50,602,745,602,3,0,1,602,,74,675,,0.0,withinloci
,Eusemion,Psilochalcis,,I23983,I23982,L961_MERG00079_0101_SUPERCONTIG,L961_MERG00070_0101_SUPERCONTIG,.,100.00,745,806,745,0,0,1,745,,29,773,,0.0,withinloci
,Eusemion,Psilochalcis,,I23983,I23982,L970_MERG00079_0101_SUPERCONTIG,L970_MERG00070_0101_SUPERCONTIG,.,100.00,645,888,645,0,0,1,645,,95,739,,0.0,withinloci
